                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0264,                 14.826,                 1.0174,                0.03777,                0.22857,                0.02295,                0.00481,                  3.122,                 44.158,                 1.1988,             0.00065359,             0.00065359,             0.00065359
                      2,                 2.9489,                 2.1409,                0.97219,                0.03777,                0.22857,                0.02295,                0.00481,                    nan,                    nan,                    nan,              0.0013072,              0.0013072,              0.0013072
                      3,                  2.936,                 1.9852,                 0.9847,                0.18679,                0.21429,                0.10083,                 0.0204,                 3.3974,                 2.0434,                 1.1268,              0.0019476,              0.0019476,              0.0019476
                      4,                  2.951,                 2.0254,                0.97692,                0.18679,                0.21429,                0.10083,                 0.0204,                  2e-05,                0.00358,                  4e-05,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.8588,                 1.9034,                0.96428,                0.18679,                0.21429,                0.10083,                 0.0204,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.9535,                  1.815,                0.98165,                0.18679,                0.21429,                0.10083,                 0.0204,                 1.5088,                 1.5546,                0.45927,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.9617,                 1.8903,                0.97387,                0.41039,                0.35714,                 0.2866,                0.08955,                 3.2661,                  2.079,                 1.0097,               0.001901,               0.001901,               0.001901
                      8,                 2.7313,                 1.7158,                 0.9382,                0.25239,                0.22857,                 0.1533,                0.03953,                 3.3067,                 1.8278,                 1.0107,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.6517,                 1.5716,                0.93695,                 0.7875,                0.41429,                0.44527,                0.13448,                 2.7226,                 1.5858,                0.98715,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.6357,                 1.5922,                0.93054,                 0.4593,                0.46117,                0.37021,                0.09777,                 2.7365,                  2.991,                0.96198,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.5964,                  1.574,                0.91851,                0.52144,                0.44286,                0.40271,                0.11259,                 2.7485,                   1.67,                0.99954,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.4939,                  1.445,                0.90948,                0.52804,                0.38571,                0.43082,                0.13009,                 2.7685,                 1.8539,                 0.9742,               0.001802,               0.001802,               0.001802
                     13,                 2.4994,                 1.4459,                0.91208,                0.31742,                0.31429,                 0.1985,                 0.0418,                  3.357,                  1.782,                 1.0393,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.4164,                 1.2627,                0.90302,                0.51026,                    0.3,                0.35519,                0.09258,                 3.3014,                  1.628,                 1.0413,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.4284,                 1.3344,                  0.909,                0.38418,                0.43675,                0.35804,                0.07935,                 3.0211,                 1.6648,                 1.0098,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.3928,                 1.3017,                0.89124,                0.54864,                0.55714,                0.48109,                0.13235,                 2.7323,                 1.3635,                0.98991,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.3968,                 1.2961,                0.88937,                0.62825,                0.41049,                0.43628,                 0.1453,                 2.5702,                 1.5731,                0.94512,               0.001703,               0.001703,               0.001703
                     18,                 2.2804,                 1.1914,                 0.8882,                0.67143,                0.51429,                0.50827,                0.16411,                 2.7277,                 1.1497,                 0.9571,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.3354,                 1.1561,                0.90004,                0.64438,                0.48571,                0.49336,                0.15394,                 2.7338,                 1.1683,                0.96026,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.3694,                 1.2525,                0.90139,                0.37635,                0.25714,                0.22984,                0.05387,                 3.3853,                  1.757,                 1.0262,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.2876,                 1.1677,                0.89835,                0.50269,                0.41883,                0.36964,                0.08771,                 2.9818,                   1.68,                0.98555,              0.0016238,              0.0016238,              0.0016238
                     22,                   2.29,                 1.1813,                0.88903,                0.60756,                0.55296,                0.49489,                0.19101,                 2.2619,                 1.4064,                0.93428,               0.001604,               0.001604,               0.001604
                     23,                 2.2872,                 1.1679,                0.87764,                 0.7492,                0.67143,                0.68286,                0.25873,                 2.2525,                 1.1392,                0.92858,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.2336,                 1.1512,                0.87118,                0.60048,                    0.5,                 0.4931,                0.14921,                 2.4597,                 1.3911,                0.93741,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.2226,                 1.1155,                0.89004,                0.65861,                0.61429,                0.57433,                0.17761,                  2.592,                 1.4479,                0.95219,              0.0015446,              0.0015446,              0.0015446
                     26,                  2.193,                 1.1183,                0.87654,                0.62267,                0.34286,                0.33469,                0.08697,                 2.8415,                 1.5814,                0.97142,              0.0015248,              0.0015248,              0.0015248
                     27,                 2.1882,                 1.1007,                0.86557,                0.74417,                0.58181,                0.57094,                0.18544,                 2.6367,                 1.2756,                0.95289,               0.001505,               0.001505,               0.001505
                     28,                 2.2113,                 1.1122,                0.89107,                0.57111,                0.61429,                0.49437,                0.15749,                 2.5335,                 1.2725,                0.94519,              0.0014852,              0.0014852,              0.0014852
                     29,                 2.1814,                 1.0472,                0.87573,                0.70722,                0.62119,                0.67942,                0.23429,                 2.5495,                 1.0783,                0.96225,              0.0014654,              0.0014654,              0.0014654
                     30,                 2.1823,                 1.0316,                0.87607,                0.61857,                0.51429,                0.50569,                0.15837,                 2.6843,                 1.1403,                0.95701,              0.0014456,              0.0014456,              0.0014456
                     31,                  2.147,                 0.9724,                0.87359,                0.66258,                0.54286,                0.57766,                0.17103,                 2.7077,                 1.0806,                0.96162,              0.0014258,              0.0014258,              0.0014258
                     32,                 2.1027,                0.96021,                0.87598,                0.80664,                0.65714,                0.73238,                0.24225,                 2.3939,                  1.004,                0.91736,               0.001406,               0.001406,               0.001406
                     33,                  2.075,                0.96671,                 0.8532,                0.76043,                0.67143,                0.67368,                 0.2006,                 2.4433,                 1.0067,                 0.9396,              0.0013862,              0.0013862,              0.0013862
                     34,                 2.1046,                 0.9739,                0.86121,                0.59242,                0.68522,                0.61846,                0.17621,                  2.543,                  1.089,                0.94383,              0.0013664,              0.0013664,              0.0013664
                     35,                 2.0499,                 0.9185,                0.85966,                0.72162,                0.58571,                0.64942,                0.20641,                 2.4859,                 1.2976,                 0.9392,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.0699,                0.95604,                0.87989,                0.67576,                0.62857,                0.60553,                0.19013,                 2.5244,                 1.0495,                0.94484,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.0125,                0.90996,                0.85011,                0.74322,                0.64286,                0.63318,                0.20862,                 2.3573,                0.98486,                0.92988,               0.001307,               0.001307,               0.001307
                     38,                 2.0723,                0.94964,                0.85432,                0.67631,                    0.6,                0.59816,                0.17675,                 2.6477,                  1.261,                0.94991,              0.0012872,              0.0012872,              0.0012872
                     39,                  1.995,                0.88471,                0.85728,                 0.6513,                0.64042,                  0.639,                0.19535,                 2.5235,                 1.1162,                0.94097,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.9855,                0.88924,                0.85342,                0.78026,                0.65714,                0.69832,                0.22829,                 2.4287,                 1.2032,                0.93224,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.0284,                0.93139,                0.86672,                 0.7476,                0.64286,                0.62135,                0.17445,                  2.767,                 1.0882,                 0.9578,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.9473,                0.86178,                0.85665,                0.57257,                    0.4,                0.39891,                0.11151,                 2.8144,                 1.3086,                0.98939,               0.001208,               0.001208,               0.001208
                     43,                 1.9909,                0.91495,                0.84888,                0.50291,                0.44286,                0.34959,                0.09571,                 2.8352,                 1.3531,                0.98427,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.8888,                 0.8655,                0.85849,                0.70746,                0.62192,                0.63534,                0.20565,                 2.6223,                 1.0178,                 0.9492,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.9607,                0.86602,                0.85805,                0.69714,                0.69059,                 0.6713,                 0.2212,                 2.4638,                0.95414,                0.92739,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.8858,                0.84392,                0.86158,                0.63466,                0.64286,                0.61346,                0.21437,                 2.4341,                 1.0696,                0.93032,              0.0011288,              0.0011288,              0.0011288
