                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5127,                 8.8391,                 1.0919,                 0.0636,                0.21429,                0.03199,                0.00819,                 3.1961,                 9.9801,                 1.2505,             0.00065359,             0.00065359,             0.00065359
                      2,                 2.5122,                 1.7869,                 1.0479,                0.00031,                0.01429,                0.00016,                  2e-05,                    nan,                    nan,                    nan,              0.0013039,              0.0013039,              0.0013039
                      3,                 2.4783,                  1.684,                 1.0621,                 0.2381,                0.07143,                0.14779,                0.04731,                  2.032,                 4.9828,                0.93369,              0.0019378,              0.0019378,              0.0019378
                      4,                 2.3288,                 1.5575,                 1.0537,                0.64105,                0.08571,                0.07134,                0.01514,                 3.6999,                 3.2572,                 1.4348,              0.0019258,              0.0019258,              0.0019258
                      5,                 2.2807,                 1.5108,                 1.0384,                  9e-05,                0.02857,                  5e-05,                  2e-05,                 2.8446,                    inf,                 1.1755,              0.0019258,              0.0019258,              0.0019258
                      6,                 2.2324,                 1.4121,                 1.0154,                0.70161,                 0.5375,                0.62595,                0.21603,                 2.4324,                 1.5786,                 1.0659,               0.001901,               0.001901,               0.001901
                      7,                 2.2128,                 1.3659,                 1.0059,                0.68188,                0.42857,                0.47108,                0.12963,                 2.6909,                  1.789,                 1.1176,              0.0018763,              0.0018763,              0.0018763
                      8,                  2.162,                 1.3087,                 1.0016,                0.79883,                0.55714,                 0.6238,                0.23532,                 2.3139,                 1.7594,                 1.0473,              0.0018515,              0.0018515,              0.0018515
                      9,                 2.0581,                 1.1473,                0.97362,                0.58608,                0.45714,                0.40522,                0.11345,                  2.913,                 1.6307,                 1.1848,              0.0018267,              0.0018267,              0.0018267
                     10,                 2.0754,                  1.258,                0.99515,                0.62409,                0.31429,                0.35125,                0.07371,                 2.8064,                 1.8551,                 1.1383,               0.001802,               0.001802,               0.001802
                     11,                 2.0989,                 1.2341,                0.99171,                0.03184,                    0.4,                0.02309,                0.00832,                 2.9986,                 14.261,                 1.1596,              0.0017772,              0.0017772,              0.0017772
                     12,                 1.9883,                 1.0955,                0.95965,                0.69786,                0.71429,                0.67475,                0.22396,                 2.1489,                 1.2131,                 1.0309,              0.0017525,              0.0017525,              0.0017525
                     13,                   1.97,                 1.1646,                0.96879,                0.82416,                0.48571,                0.57645,                0.18982,                 2.4241,                 1.6738,                 1.0866,              0.0017278,              0.0017278,              0.0017278
                     14,                 1.9711,                 1.0462,                0.96253,                0.44839,                0.38571,                0.30391,                0.07259,                 3.0332,                 1.9833,                 1.2012,               0.001703,               0.001703,               0.001703
                     15,                 1.8905,                 1.0451,                0.95413,                0.87037,                    0.6,                0.73962,                0.24633,                 2.3539,                 1.3191,                 1.0466,              0.0016783,              0.0016783,              0.0016783
                     16,                 1.9152,                 1.0355,                0.94153,                 0.6561,                0.65413,                0.60731,                0.18419,                 2.4946,                 1.5293,                 1.0863,              0.0016535,              0.0016535,              0.0016535
                     17,                 1.8781,                0.99643,                0.92365,                0.59433,                0.52329,                0.42565,                0.10843,                 2.8202,                 1.4163,                  1.157,              0.0016287,              0.0016287,              0.0016287
                     18,                 1.8223,                0.93384,                0.93076,                0.65376,                0.57143,                0.51054,                 0.1259,                  2.876,                 1.3337,                 1.1658,               0.001604,               0.001604,               0.001604
                     19,                 1.8907,                 0.9713,                0.95476,                0.75295,                0.65714,                0.68378,                0.22169,                 2.3384,                 1.5606,                 1.0543,              0.0015793,              0.0015793,              0.0015793
                     20,                 1.8598,                0.95162,                0.94312,                0.81679,                0.67143,                0.71211,                0.24632,                 2.3185,                 1.2498,                 1.0328,              0.0015545,              0.0015545,              0.0015545
                     21,                 1.7067,                0.89451,                0.92478,                0.72927,                0.55714,                0.57215,                0.16372,                  2.551,                 1.7107,                 1.0957,              0.0015298,              0.0015298,              0.0015298
                     22,                 1.7657,                0.89872,                 0.9142,                0.69931,                0.59805,                0.54841,                0.17132,                 2.4812,                 1.3054,                 1.0703,               0.001505,               0.001505,               0.001505
                     23,                 1.7141,                0.89744,                0.90775,                0.82834,                0.65714,                0.64684,                 0.2066,                 2.5646,                 1.1331,                 1.0868,              0.0014803,              0.0014803,              0.0014803
                     24,                 1.6943,                0.89354,                0.92852,                0.80209,                0.58571,                0.60995,                0.17343,                 2.5807,                 1.3076,                 1.0887,              0.0014555,              0.0014555,              0.0014555
                     25,                 1.7198,                0.90846,                0.92655,                0.74379,                0.55714,                 0.5544,                0.15899,                 2.7309,                 1.4894,                 1.1279,              0.0014307,              0.0014307,              0.0014307
