                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2753,                 10.237,                 1.0955,                0.00038,                0.11429,                0.00028,                  5e-05,                 3.0404,                 18.693,                 1.0414,             0.00065359,             0.00065359,             0.00065359
                      2,                 3.1908,                 5.4635,                 1.0052,                0.01353,                0.37143,                0.11718,                0.02955,                 2.8642,                 5.4154,                 1.0165,              0.0013159,              0.0013159,              0.0013159
                      3,                 3.0358,                  4.054,                0.99806,                0.19891,                0.15714,                0.06555,                0.01293,                 4.0206,                 4.6645,                 1.1258,              0.0019738,              0.0019738,              0.0019738
                      4,                 2.9429,                 3.1296,                0.98236,                0.67991,                0.22857,                0.24508,                0.06672,                  3.096,                 3.4811,                0.99674,              0.0019802,              0.0019802,              0.0019802
                      5,                 2.9701,                 2.5789,                0.96121,                0.35985,                0.34286,                0.22638,                0.05977,                 2.8499,                 2.5842,                0.96443,              0.0019802,              0.0019802,              0.0019802
                      6,                 2.7814,                 2.1795,                0.95503,                0.69705,                0.42857,                0.50988,                0.15889,                 2.5236,                 1.8406,                0.94154,              0.0019736,              0.0019736,              0.0019736
                      7,                 2.7982,                 2.0834,                 0.9672,                0.89148,                0.48571,                0.61813,                0.21596,                  2.444,                 1.5969,                0.95763,               0.001967,               0.001967,               0.001967
                      8,                 2.6451,                 1.9294,                0.92885,                 0.7763,                0.52857,                0.56011,                0.20296,                 2.3768,                  1.737,                0.94543,              0.0019604,              0.0019604,              0.0019604
                      9,                 2.6743,                 1.8183,                0.93056,                0.27474,                0.28571,                0.15649,                0.03046,                 3.4126,                 2.1085,                 1.0614,              0.0019538,              0.0019538,              0.0019538
                     10,                 2.6578,                 1.7417,                0.92701,                0.63639,                    0.4,                0.36186,                0.10384,                 2.6372,                  1.858,                0.96345,              0.0019472,              0.0019472,              0.0019472
                     11,                 2.6733,                 1.6201,                0.93038,                0.65063,                 0.5853,                0.57401,                0.17454,                 2.4907,                 1.4041,                0.94636,              0.0019406,              0.0019406,              0.0019406
                     12,                 2.6165,                 1.6199,                0.92041,                0.77784,                0.60021,                 0.6841,                0.22305,                 2.3355,                  1.434,                0.93668,               0.001934,               0.001934,               0.001934
                     13,                 2.6345,                 1.4812,                0.92807,                0.69884,                0.47143,                0.51502,                0.11237,                 2.8109,                 1.4256,                0.97128,              0.0019274,              0.0019274,              0.0019274
                     14,                 2.4848,                 1.4251,                0.91458,                0.56019,                 0.5823,                0.56041,                0.18711,                 2.2911,                 1.4839,                0.92871,              0.0019208,              0.0019208,              0.0019208
                     15,                 2.4898,                 1.4469,                 0.9117,                0.59777,                0.54286,                0.56755,                 0.1888,                 2.4363,                  2.123,                0.94633,              0.0019142,              0.0019142,              0.0019142
                     16,                 2.4688,                  1.386,                0.89799,                0.75361,                0.61429,                0.62103,                0.18585,                  2.575,                 1.3402,                0.95036,              0.0019076,              0.0019076,              0.0019076
