                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.698,                 7.7833,                 1.1432,                0.00113,                0.34286,                 0.0008,                0.00023,                  2.698,                 9.2194,                 1.1162,             0.00065359,             0.00065359,             0.00065359
                      2,                 2.5443,                 4.8906,                 1.0536,                0.79513,                0.38818,                0.42487,                0.11421,                 2.6036,                  4.393,                 1.1202,              0.0013072,              0.0013072,              0.0013072
                      3,                 2.4064,                 3.5985,                 1.0552,                0.66079,                0.41429,                0.45225,                0.12444,                 2.4563,                 4.1236,                 1.1196,              0.0019476,              0.0019476,              0.0019476
                      4,                 2.4184,                 2.7241,                 1.0638,                0.53652,                0.34286,                0.31005,                0.07868,                 2.9341,                 3.1265,                 1.2051,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.3731,                  2.228,                 1.0499,                0.70606,                0.55714,                0.56086,                0.17112,                 2.3793,                 2.1128,                 1.0469,              0.0019406,              0.0019406,              0.0019406
                      6,                  2.292,                 1.8501,                 1.0311,                0.67327,                0.38571,                0.45918,                0.13559,                 2.5677,                 2.4724,                 1.0763,              0.0019208,              0.0019208,              0.0019208
                      7,                  2.283,                 1.6619,                 1.0238,                0.43871,                0.41429,                0.32129,                0.06944,                 3.0444,                  1.886,                 1.1751,               0.001901,               0.001901,               0.001901
                      8,                  2.258,                 1.6033,                 1.0164,                 0.6953,                0.61429,                0.63145,                0.19845,                 2.3997,                 1.7668,                 1.0482,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.1088,                 1.3855,                0.98751,                0.75839,                    0.6,                0.65651,                0.22829,                 2.4417,                 1.4822,                 1.0687,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.1103,                 1.3321,                0.99438,                0.59552,                0.58571,                0.58531,                0.20914,                 2.4959,                 1.3871,                 1.0668,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.0895,                 1.2344,                0.99658,                0.84548,                0.62857,                0.71682,                0.22963,                 2.2544,                 1.2078,                 1.0294,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.0593,                 1.1775,                0.97089,                0.76634,                0.62857,                0.63519,                  0.204,                 2.5347,                 1.2742,                  1.094,               0.001802,               0.001802,               0.001802
                     13,                 2.0822,                 1.1952,                0.98742,                0.66375,                0.59225,                0.55864,                0.15429,                 2.6994,                 1.2821,                 1.1293,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.9616,                 1.1221,                0.96292,                0.53738,                0.55714,                0.38543,                0.10054,                 2.7879,                 1.4485,                 1.1328,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.9999,                 1.1066,                0.96648,                0.69839,                0.55714,                 0.5708,                0.17139,                 2.7197,                 1.3319,                 1.1014,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.9718,                 1.1043,                0.94207,                0.86448,                    0.6,                 0.6711,                 0.2444,                 2.3656,                  1.423,                 1.0439,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.9065,                   1.08,                0.93015,                0.83959,                0.62857,                0.72945,                0.24806,                 2.3033,                 1.1504,                 1.0318,               0.001703,               0.001703,               0.001703
                     18,                 1.9073,                 1.0161,                0.95616,                0.50875,                 0.3699,                0.34599,                0.09116,                 3.0561,                 1.5456,                 1.1804,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.9413,                 1.0579,                0.96447,                0.75524,                0.61715,                0.74842,                0.23872,                 2.4861,                 1.4325,                 1.0661,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.9529,                 1.0743,                0.95701,                0.81403,                0.64286,                0.70226,                0.22816,                 2.4448,                 1.4657,                 1.0765,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.8411,                 1.0015,                0.94362,                0.85093,                0.65243,                0.71392,                0.23333,                  2.428,                 1.2985,                 1.0641,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.8995,                0.96182,                0.92771,                0.88346,                0.75813,                0.82241,                0.27759,                 2.1851,                 1.0736,                 1.0207,               0.001604,               0.001604,               0.001604
                     23,                 1.8912,                 0.9999,                0.93007,                0.74316,                0.62008,                0.68062,                0.27946,                 2.3354,                 1.3116,                 1.0363,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.8347,                0.96881,                0.94527,                0.69966,                0.58571,                0.52961,                0.19338,                 2.6671,                 1.4293,                 1.0954,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.7847,                0.95965,                0.92944,                 0.7526,                0.64286,                0.59811,                0.17578,                 2.6305,                 1.3326,                 1.0926,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.7801,                0.90629,                0.92032,                0.86956,                0.75714,                0.81338,                0.30333,                 2.2947,                 1.1162,                 1.0153,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.7962,                0.93844,                0.92788,                0.80131,                0.65714,                0.70864,                0.25496,                 2.2558,                 1.2389,                 1.0206,               0.001505,               0.001505,               0.001505
                     28,                 1.8112,                 0.9189,                0.94138,                0.95899,                0.81429,                0.87899,                0.32004,                 2.3942,                  1.015,                 1.0287,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.7733,                0.91875,                0.93522,                0.84383,                0.69479,                0.74471,                0.25076,                 2.4599,                 1.0998,                 1.0557,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.7948,                0.88201,                0.92186,                0.89996,                0.77107,                0.80699,                0.29546,                 2.2326,                 0.9856,                 1.0342,              0.0014456,              0.0014456,              0.0014456
                     31,                  1.684,                 0.8334,                0.91485,                0.75262,                0.67143,                0.65841,                0.18253,                  2.569,                 1.1922,                 1.0866,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.8042,                0.87262,                0.92639,                0.87635,                0.68571,                0.77143,                0.24725,                 2.4207,                 1.1683,                  1.053,               0.001406,               0.001406,               0.001406
